r12    value      errors
7.7    1.03501    0.00509311
11.5   1.02296    0.00357214
19.6   0.89621    0.00210811
27     0.761085   0.00129423
39     0.587896   0.000622208
62.4   0.407093   0.00062389
200    0.140767   0.000123998

r32    value      errors
7.7    0.60824    0.0654446
11.5   0.680635   0.0419961
19.6   0.612299   0.0259571
27     0.541676   0.0178584
39     0.432666   0.0115891
62.4   0.302545   0.0171705
200    0.122195   0.0082447

r42    value      errors
7.7    3.47575    1.02065
11.5   1.45084    0.604139
14.5   1.66425    0.415428
19.6   0.235239   0.341411
27     0.220035   0.221793
39     0.700494   0.15015
62.4   1.1707     0.232281
200    0.906665   0.111087
