# SNN T T+ T- muB muB+ muB- gamma_s gamma_s+ gamma_s- muI3 muI3+ muI3- muS muS+ muS-
2.700 61.25610 0.849 1.853 758.5436 12.909 7.236 0.3752 0.0806 0.0806 -20.3054 1.96 1.98 131.8186 5.12057 5.1252
3.300 66.86930 1.854 1.806 671.7666 9.43 10.076 1.218 0.0913 0.0913 -11.6270 3.10 3.22 95.39641 5.16586 5.2351
3.800 71.78680 1.581 1.647 628.9043 7.416 7.719 1.585 0.1182 0.1182 -10.8585 3.96 4.09 83.30406 4.06318 4.06633
4.300 84.48970 2.989 3.726 597.4181 14.435 12.372 1.2896 0.0967 0.0967 -13.7697 4.97 5.10 88.62122 7.68421 7.44147
4.900 130.4497 5.325 8.10 545.8757 38.91 26.632 0.9019 0.232 0.232 -18.8594 7.73 8.38 136.0271 18.6541 17.1216
6.300 131.6798 4.837 5.284 435.4225 15.35 14.275 1.0893 0.1344 0.1344 -12.5608 9.68 9.88 93.34510 9.07083 9.63792
7.600 139.6930 4.968 5.438 400.5259 17.487 14.759 1.186 0.1236 0.1236 -18.1988 10.27 10.51 94.55842 9.33142 9.71372
8.800 144.6468 5.038 4.99 360.4677 15.594 13.792 0.9613 0.116 0.106 -10.4592 11.67 11.64 83.06094 8.76468 9.00648
9.200 153.3224 9.107 9.90 362.1000 25.299 19.502 1.0967 0.244 0.264 -8.67870 19.04 22.74 95.39091 15.48441 15.20604
12.00 150.6775 3.967 3.679 284.5703 13.702 14.487 0.9071 0.1443 0.1443 -12.3433 15.1 17.06 66.54503 8.09857 7.52679
17.00 148.3982 4.317 5.196 218.4744 21.881 16.179 0.9896 0.086 0.086 -4.37280 16.81 18.12 44.55296 9.64411 8.87267
62.40 172.5690 10.27 6.597 67.3719 4.791 4.366 0.9452 0.1045 0.1045 -2.61430 5.02 5.18 19.28393 2.95547 2.80046
130.0 169.3370 8.677 7.791 30.7316 10.895 9.895 0.9385 0.1096 0.1096 -1.76790 8.64 9.16 8.518490 4.35712 4.05528
200.0 170.5667 13.13 9.90 28.2484 15.228 13.49 0.8679 0.1382 0.1382 -2.84870 13.05 14.24 8.284310 6.50283 5.85434
2760 147.9798 4.968 4.968 0.00000 0.0000 0.000 1.0000 0.0000 0.0000 0.0000 0.000 0.000 0.000000 0.00000 0.00000
