2.70         64     760      10000   5        5        10          23         2000      2000
3.3          74     670      7750    2        3        5           10         1200      1200
3.8          86     610      5600    2        4        10          5          800       800
4.3          94     580      4560    2        4        15          15         280       220
4.85         126    550      1020    2        2        8           5          40        60
6.3          130    430      1560    2.5      2.5      7           10         50        50
7.6          138    380      1380    2.9      2.9      5           10         75        55 
8.8          148    380      960     2.0      2.0      20          5          90        120
12.3         148    275      1340    3.1      3.1      10          5          60        100
17.3         154    230      1240    3.1      3.1      10          15         480       480 
62.4         163    74       1530    3.7      3.7      10          11         180       180
130          161    34       2050    3.7      3.7      9           10         150       150
200          162    24       2100    3.5      3.5      4           3          220       220
2760         156.5  0.7      5280    1.9      1.9      3.8         3.8        410       410
